id,grid_id,score,data_source,borough,zip,latitude,longitude,address,geometry
915188,691,10.93,greenstreets,Q,11694,40.57546821119578,-73.84920325622473,Rockaway Beach Blvd bet. B 130 St & B 131 St,POINT (-73.84920325622473 40.57546821119578)
915189,691,10.93,greenstreets,Q,11694,40.575136682637016,-73.8500153023295,Rockaway Beach Blvd bet. B 131 St & B 132 St,POINT (-73.8500153023295 40.575136682637016)
915190,632,6.16,greenstreets,Q,11694,40.57480512564054,-73.85080989387512,Rockaway Beach Blvd bet. B 132 St & B 133 St,POINT (-73.85080989387512 40.57480512564054)
915191,632,6.16,greenstreets,Q,11694,40.57449349648871,-73.85158698460985,Rockaway Beach Blvd bet. B 133 St & B 134 St,POINT (-73.85158698460985 40.57449349648871)
915192,632,6.16,greenstreets,Q,11694,40.57415861400825,-73.85239029158693,Rockaway Beach Blvd bet. B 134 St & B 135 St,POINT (-73.85239029158693 40.57415861400825)
915193,632,6.16,greenstreets,Q,11694,40.573827029723546,-73.85317613620752,Rockaway Beach Blvd bet. B 135 St & B 136 St,POINT (-73.85317613620752 40.573827029723546)
915194,632,6.16,greenstreets,Q,11694,40.57350544465615,-73.85398376058528,Rockaway Beach Blvd bet. B 136 St & B 137 St,POINT (-73.85398376058528 40.57350544465615)
915195,632,6.16,greenstreets,Q,11694,40.573173850059,-73.85476958734412,Rockaway Beach Blvd bet. B 137 St & B 138 St,POINT (-73.85476958734412 40.573173850059)
915196,631,16.36,greenstreets,Q,11694,40.57285888944956,-73.8555640957032,Rockaway Beach Blvd bet. B 138 St & B 139 St,POINT (-73.8555640957032 40.57285888944956)
915197,631,16.36,greenstreets,Q,11694,40.5725306206038,-73.85635862432618,Rockaway Beach Blvd bet. B 139 St & B 140 St,POINT (-73.85635862432618 40.5725306206038)
915198,877,8.45,greenstreets,Q,11691,40.59614595997029,-73.75978259819594,B26 St & Dune St & Seagirt Blvd,POINT (-73.75978259819594 40.59614595997029)
915199,877,8.45,greenstreets,Q,11691,40.59606334310156,-73.75947817345407,B26 St & Edgemere Av & Seagirt Blvd,POINT (-73.75947817345407 40.59606334310156)
915200,819,5.1,greenstreets,Q,11691,40.59512178164676,-73.75216102805813,Bch 17 St & Seagirt Bl  1,POINT (-73.75216102805813 40.59512178164676)
915201,937,3.72,greenstreets,Q,11691,40.60440226368146,-73.75292529613685,Mott Ave & Central Ave,POINT (-73.75292529613685 40.60440226368146)
915202,693,2.46,greenstreets,Q,11694,40.579236819402546,-73.83185563210813,Bch 111 St & Ocean Promenade,POINT (-73.83185563210813 40.579236819402546)
915203,693,2.46,greenstreets,Q,11694,40.578969410306954,-73.83265944808927,Bch 112 St & Ocean Promenade,POINT (-73.83265944808927 40.578969410306954)
915204,819,5.1,greenstreets,Q,11691,40.59513472181682,-73.75362140731316,Seagirt Bl & Bch 19 St  median,POINT (-73.75362140731316 40.59513472181682)
915205,508,2.98,greenstreets,Q,11697,40.56075976986816,-73.90834430579895,Breezy Point Blvd & Rockaway Point Blvd (4),POINT (-73.90834430579895 40.560759769868156)
915206,508,2.98,greenstreets,Q,11697,40.560818775212574,-73.90790491026034,Breezy Point Blvd & Rockaway Point Blvd (3),POINT (-73.90790491026034 40.560818775212574)
915207,508,2.98,greenstreets,Q,11697,40.56090465300589,-73.90745087231925,Breezy Point Blvd & Rockaway Point Blvd (2),POINT (-73.90745087231925 40.56090465300589)
915208,754,7.07,greenstreets,Q,11693,40.58491539053795,-73.81114420014569,Shore front py btw bch 90 st and bch 84 st,POINT (-73.81114420014569 40.58491539053795)
915209,754,7.07,greenstreets,Q,11693,40.584573618691856,-73.8125038690515,Shore Front Pkwy & Bch 91 St,POINT (-73.8125038690515 40.584573618691856)
915210,754,7.07,greenstreets,Q,11693,40.58378605989687,-73.81564298584293,Shorefront Pkwy & B94 St,POINT (-73.81564298584293 40.58378605989687)
915211,754,7.07,greenstreets,Q,11693,40.58358111111077,-73.8163997460202,Shorefront Pkwy & B95 St,POINT (-73.8163997460202 40.58358111111077)
915212,753,3.65,greenstreets,Q,11693,40.58321580208269,-73.81764470392177,Shorefront Pkwy & B97 St,POINT (-73.81764470392177 40.58321580208269)
915213,753,3.65,greenstreets,Q,11693,40.582563798056725,-73.81990926754015,Shorefront Pkwy & Bch 99 St,POINT (-73.81990926754015 40.582563798056725)
915214,753,3.65,greenstreets,Q,11694,40.58218278936558,-73.82134472157185,Shorefront Pkwy Bch 102 St,POINT (-73.82134472157185 40.58218278936558)
915215,694,2.06,greenstreets,Q,11694,40.58097034219117,-73.82582342421793,Shorefront Pkwy & B105 St,POINT (-73.82582342421793 40.58097034219117)
915216,693,2.46,greenstreets,Q,11694,40.580516719656735,-73.8274152563647,Shorefront Pkwy btw B 105 & B106 St,POINT (-73.8274152563647 40.580516719656735)
915217,693,2.46,greenstreets,Q,11694,40.58006008048993,-73.8286517029988,Shorefront Pkwy & B108 St,POINT (-73.8286517029988 40.58006008048993)
915218,693,2.46,greenstreets,Q,11694,40.57813154878059,-73.83516060829194,Bch 115 St & Ocean Promenade,POINT (-73.83516060829194 40.57813154878059)
915219,692,6.03,greenstreets,Q,11694,40.58168328180894,-73.83802962751874,Beach Channel Dr & B116 St & Newport Av (triangle),POINT (-73.83802962751874 40.58168328180894)
915220,819,5.1,greenstreets,Q,11691,40.59564201712411,-73.75789893639714,B25 St & Seagirt Blvd & Fernside Pl,POINT (-73.75789893639714 40.59564201712411)
915221,1080,4.78,greenstreets,R,10301,40.63383682842848,-74.0751472929234,Bay And Saint Julian,POINT (-74.0751472929234 40.63383682842848)
915222,1017,8.09,greenstreets,R,10310,40.62692227189632,-74.11471961415684,Harvest Av Bet. Broadway & Lloyd Ct,POINT (-74.11471961415684 40.62692227189632)
915223,819,5.1,greenstreets,Q,11691,40.59530430387519,-73.75339280641735,Seagirt Blvd & B19 St (north),POINT (-73.75339280641735 40.59530430387519)
915224,877,8.45,greenstreets,Q,11691,40.60224088007968,-73.75939292213081,Beach Channel Dr & Cornaga Av & Gipson St,POINT (-73.75939292213081 40.60224088007968)
915225,1989,4.83,greenstreets,Q,11368,40.74007400022762,-73.8478935369445,Corona Av & GCP Et Wb,POINT (-73.8478935369445 40.74007400022762)
915226,2166,3.77,greenstreets,Q,11368,40.75994155741401,-73.84598195463892,Northern Bl SR S & GCP EB exit 9E,POINT (-73.84598195463892 40.75994155741401)
915227,2166,3.77,greenstreets,Q,11368,40.76009946743272,-73.84586867498821,126 St & Northern Bl SR S,POINT (-73.84586867498821 40.760099467432724)
915228,2103,14.18,greenstreets,Q,11372,40.75358410813064,-73.88642175359671,34th Av Btw 80 & 81 Streets,POINT (-73.88642175359671 40.75358410813064)
915229,2103,14.18,greenstreets,Q,11372,40.753487421641054,-73.88734214580127,34 Av Btw 79 & 80 Streets,POINT (-73.88734214580127 40.753487421641054)
915230,1411,8.66,greenstreets,Q,11422,40.66545094550841,-73.73518725560952,FL Blvd & Sunrise Hwy/So. Conduit Av,POINT (-73.73518725560952 40.66545094550841)
915231,1646,10.37,greenstreets,Q,11411,40.694699846857475,-73.74532284201142,Francis Lewis Blvd & 118 Av & Nashville Blvd,POINT (-73.74532284201142 40.694699846857475)
915232,2119,2.8,greenstreets,Q,11362,40.750851756767545,-73.72828889219682,Commonwealth Blvd & GCP,POINT (-73.72828889219682 40.750851756767545)
915233,1529,9.25,greenstreets,Q,11413,40.67740820961102,-73.73868309481196,Francis Lewis Bl & 133 Ave,POINT (-73.73868309481196 40.67740820961102)
915234,1884,5.0,greenstreets,Q,11426,40.725003060278766,-73.72309880676633,Braddock Ave & 245 St & Cross Island Py,POINT (-73.72309880676633 40.725003060278766)
915235,1587,3.22,greenstreets,Q,11411,40.68814100414401,-73.74158807962914,121 av & 222 st & francis lewis bl,POINT (-73.74158807962914 40.68814100414401)
915236,1529,9.25,greenstreets,Q,11413,40.67972901630711,-73.73741283714193,francis lewis bl & 131 av N side,POINT (-73.73741283714193 40.67972901630711)
915237,1944,14.14,greenstreets,Q,11426,40.73187152494329,-73.71324111367575,253 st bet 87 Av & 86 ave  2,POINT (-73.71324111367575 40.73187152494329)
